證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00794B,群益7+中國政金債,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00795B,中信美國公債20年,"87,100","1,247,000","-1,159,900",0.0,0.0,0.0,0,0,0,"-3,717,557",0,0,0,"1,697,000","5,414,557","-3,717,557","-4,877,457"
00799B,國泰A級醫療債,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"-15,860",0,0,0,"109,000","124,860","-15,860","-16,860"
00834B,第一金金融債10+,"11,000",0,"11,000",0.0,0.0,0.0,0,0,0,"-11,000",0,0,0,"132,000","143,000","-11,000",0
00836B,永豐10年A公司債,0,"6,000","-6,000",0.0,0.0,0.0,0,0,0,-176,0,0,0,"100,000","100,176",-176,"-6,176"
00840B,凱基IG精選15+,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00841B,凱基AAA-AA公司債,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"-2,000",0,0,0,"100,000","102,000","-2,000","-3,000"
00842B,台新美元銀行債,0,0,0,0.0,0.0,0.0,0,0,0,"-1,000",0,0,0,"359,000","360,000","-1,000","-1,000"
00844B,新光15年IG金融債,0,"100,000","-100,000",0.0,0.0,0.0,0,0,0,"97,000",0,0,0,"162,000","65,000","97,000","-3,000"
00845B,富邦新興投等債,0,"73,000","-73,000",0.0,0.0,0.0,0,0,0,"72,000",0,0,0,"173,000","101,000","72,000","-1,000"
00846B,富邦歐洲銀行債,0,"11,000","-11,000",0.0,0.0,0.0,0,0,0,"16,000",0,0,0,"166,000","150,000","16,000","5,000"
00847B,中信美國市政債,0,0,0,0.0,0.0,0.0,0,0,0,"4,000",0,0,0,"352,000","348,000","4,000","4,000"
00848B,中信新興亞洲債,0,"51,000","-51,000",0.0,0.0,0.0,0,0,0,"51,000",0,0,0,"381,000","330,000","51,000",0
00849B,中信EM主權債0-5,0,0,0,0.0,0.0,0.0,0,0,0,-914,0,0,0,"323,100","324,014",-914,-914
00853B,統一美債10年Aa-A,0,"4,000","-4,000",0.0,0.0,0.0,0,0,0,"-6,331",0,0,0,"976,054","982,385","-6,331","-10,331"
00856B,永豐1-3年美公債,0,0,0,0.0,0.0,0.0,0,0,0,"-21,000",0,0,0,0,"21,000","-21,000","-21,000"
00857B,永豐20年美公債,0,"66,000","-66,000",0.0,0.0,0.0,0,0,0,"-568,358",0,0,0,"337,000","905,358","-568,358","-634,358"
00858,永豐美國500大,0,"23,000","-23,000",0.0,0.0,0.0,0,0,0,"-39,266",0,0,0,"29,000","68,266","-39,266","-62,266"
00859B,群益0-1年美債,0,0,0,0.0,0.0,0.0,0,0,0,"-2,000",0,0,0,"113,000","115,000","-2,000","-2,000"
00860B,群益1-5Y投資級債,0,0,0,0.0,0.0,0.0,0,0,0,130,0,0,0,"140,882","140,752",130,130
00862B,中信投資級公司債,0,"109,000","-109,000",0.0,0.0,0.0,0,0,0,"83,000",0,0,0,"415,000","332,000","83,000","-26,000"
00863B,中信全球電信債,0,"37,000","-37,000",0.0,0.0,0.0,0,0,0,"27,000",0,0,0,"329,000","302,000","27,000","-10,000"
00864B,中信美國公債0-1,"50,000","129,000","-79,000",0.0,0.0,0.0,0,0,0,"-1,819,000",0,0,0,"654,000","2,473,000","-1,819,000","-1,898,000"
00867B,新光A-BBB電信債,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"200,000","200,000",0,0
00870B,元大15年EM主權債,0,"18,000","-18,000",0.0,0.0,0.0,0,0,0,"20,000",0,0,0,"50,000","30,000","20,000","2,000"
00877,復華中國5G,"74,000","119,000","-45,000",0.0,0.0,0.0,0,0,0,"-345,990",0,0,0,"228,100","574,090","-345,990","-390,990"
00883B,中信ESG投資級債,0,"18,000","-18,000",0.0,0.0,0.0,0,0,0,"13,933",0,0,0,"398,056","384,123","13,933","-4,067"
00884B,中信低碳新興債,0,0,0,0.0,0.0,0.0,0,0,0,-69,0,0,0,"330,503","330,572",-69,-69
00886,永豐美國科技,"1,000",0,"1,000",0.0,0.0,0.0,0,0,0,"10,892",0,0,0,"36,893","26,001","10,892","11,892"
00887,永豐中國科技50大,"1,323,000","349,000","974,000",0.0,0.0,0.0,0,0,0,"-2,050,170",0,0,0,"1,941,490","3,991,660","-2,050,170","-1,076,170"
00888,永豐台灣ESG,"59,000","37,000","22,000",0.0,0.0,0.0,0,0,0,"-284,885",0,0,0,"419,000","703,885","-284,885","-262,885"
00890B,凱基ESG BBB債15+,0,0,0,0.0,0.0,0.0,0,0,0,"-3,000",0,0,0,"500,000","503,000","-3,000","-3,000"
00928,中信上櫃ESG 30,0,"100,000","-100,000",0.0,0.0,0.0,0,0,0,"-69,189",0,0,0,"255,000","324,189","-69,189","-169,189"
00931B,統一美債20年,"136,000","461,000","-325,000",0.0,0.0,0.0,0,"234,000","-234,000","-248,924",0,0,0,"1,246,000","1,494,924","-248,924","-807,924"
