代碼,名稱,領域,說明
2360,致茂,其他電子業,先進封裝(CoWoS/3DIC); 國防產業; 機器人與智慧機械
2362,藍天,電腦及週邊設備業,無
2363,矽統,半導體業,特殊應用積體電路(ASIC)
2364,倫飛,電腦及週邊設備業,無
2365,昆盈,電腦及週邊設備業,機器人與智慧機械
2367,燿華,電子零組件業,智慧駕駛(ADAS/V2X)
2368,金像電,電子零組件業,AI伺服器與資料中心
2369,菱生,半導體業,無
2371,大同,電機機械,機器人與智慧機械
2373,震旦行,其他電子業,無
2374,佳能,光電業,機器人與智慧機械
2375,凱美,電子零組件業,無
2376,技嘉,電腦及週邊設備業,AI伺服器與資料中心
2377,微星,電腦及週邊設備業,智慧駕駛(ADAS/V2X); 機器人與智慧機械
2379,瑞昱,半導體業,智慧駕駛(ADAS/V2X)
2380,虹光,電腦及週邊設備業,無
2382,廣達,電腦及週邊設備業,AI伺服器與資料中心; 機器人與智慧機械
2383,台光電,電子零組件業,AI伺服器與資料中心
2385,群光,電子零組件業,無
2387,精元,電腦及週邊設備業,無
2388,威盛,半導體業,特殊應用積體電路(ASIC)
2390,云辰,其他電子業,無
2392,正崴,電子零組件業,AI伺服器與資料中心; 智慧駕駛(ADAS/V2X)
2393,億光,光電業,無
2395,研華,電腦及週邊設備業,先進封裝(CoWoS/3DIC); 機器人與智慧機械
2397,友通,電腦及週邊設備業,無
2399,映泰,電腦及週邊設備業,記憶體產業鏈/熱門股
2401,凌陽,半導體業,特殊應用積體電路(ASIC); 智慧駕駛(ADAS/V2X)
2402,毅嘉,電子零組件業,無
2404,漢唐,其他電子業,無
2405,輔信,電腦及週邊設備業,無
2406,國碩,光電業,無
2408,南亞科,半導體業,記憶體產業鏈/熱門股
2409,友達,光電業,智慧駕駛(ADAS/V2X)
2412,中華電,通信網路業,智慧駕駛(ADAS/V2X)
2413,環科,電子零組件業,記憶體產業鏈/熱門股
2414,精技,電子通路業,無
2415,錩新,電子零組件業,無
2417,圓剛,電腦及週邊設備業,無
2419,仲琦,通信網路業,無
2420,新巨,電子零組件業,無
2421,建準,電子零組件業,AI伺服器與資料中心
2423,固緯,其他電子業,無
2424,隴華,通信網路業,無
2425,承啟,電腦及週邊設備業,無
2426,鼎元,光電業,無
2427,三商電,資訊服務業,無
2428,興勤,電子零組件業,智慧駕駛(ADAS/V2X)
2429,銘旺科,光電業,無
2430,燦坤,電子通路業,無
2431,聯昌,電子零組件業,無
2433,互盛電,其他電子業,無
2434,統懋,半導體業,無
2436,偉詮電,半導體業,智慧駕駛(ADAS/V2X)
2438,翔耀,光電業,無
2439,美律,通信網路業,無
2440,太空梭,電子零組件業,無
2441,超豐,半導體業,功率半導體
2442,新美齊,建材營造業,無
2443,昶虹,其他業,無
2444,兆勁,通信網路業,無
2449,京元電子,半導體業,先進封裝(CoWoS/3DIC)
2450,神腦,通信網路業,無
2451,創見,半導體業,無
2453,凌群,資訊服務業,無
2454,聯發科,半導體業,特殊應用積體電路(ASIC); 智慧駕駛(ADAS/V2X); 量子電腦
2455,全新,通信網路業,次世代半導體(GaN/SiC)
2457,飛宏,電子零組件業,無
2458,義隆,半導體業,機器人與智慧機械
2459,敦吉,其他電子業,無
2460,建通,電子零組件業,無
2461,光群雷,其他電子業,無
2462,良得電,電子零組件業,智慧駕駛(ADAS/V2X)
2464,盟立,其他電子業,機器人與智慧機械; 量子電腦
2465,麗臺,電腦及週邊設備業,無
2466,冠西電,光電業,無
2467,志聖,電子零組件業,先進封裝(CoWoS/3DIC); 機器人與智慧機械; 量子電腦
2468,華經,資訊服務業,無
2471,資通,資訊服務業,無
2472,立隆電,電子零組件業,無
2474,可成,其他電子業,無
2476,鉅祥,電子零組件業,無
2477,美隆電,其他電子業,無
2478,大毅,電子零組件業,無
2480,敦陽科,資訊服務業,無
2481,強茂,半導體業,功率半導體
2482,連宇,其他電子業,無
2483,百容,電子零組件業,無
2484,希華,電子零組件業,無
2485,兆赫,通信網路業,無
2486,一詮,光電業,無
2488,漢平,其他電子業,無
2489,瑞軒,光電業,無
2491,吉祥全,光電業,無
2492,華新科,電子零組件業,無
2493,揚博,電子零組件業,無
2495,普安,電腦及週邊設備業,無
2496,卓越,其他業,無
2497,怡利電,汽車工業,智慧駕駛(ADAS/V2X)
2498,宏達電,通信網路業,智慧駕駛(ADAS/V2X)
2501,國建,建材營造業,無
2504,國產,建材營造業,無
2505,國揚,建材營造業,無
2506,太設,建材營造業,無
2509,全坤建,建材營造業,無
2511,太子,建材營造業,無
2514,龍邦,其他業,無
2515,中工,建材營造業,無
2516,新建,建材營造業,無
2520,冠德,建材營造業,無
2524,京城,建材營造業,無
2527,宏璟,建材營造業,無
2528,皇普,建材營造業,無
2530,華建,建材營造業,無
2534,宏盛,建材營造業,無
2535,達欣工,建材營造業,無
2536,宏普,建材營造業,無
2537,聯上發,建材營造業,無
2538,基泰,建材營造業,無
2539,櫻花建,建材營造業,無
2540,愛山林,建材營造業,無
2542,興富發,建材營造業,無
2543,皇昌,建材營造業,無
2545,皇翔,建材營造業,無
2546,根基,建材營造業,無
2547,日勝生,建材營造業,無
2548,華固,建材營造業,無
2597,潤弘,建材營造業,無
2601,益航,貿易百貨業,無
2603,長榮,航運業,無
2605,新興,航運業,無
2606,裕民,航運業,無
2607,榮運,航運業,無
2608,嘉里大榮,航運業,無
2609,陽明,航運業,無
2610,華航,航運業,無
2611,志信,航運業,無
2612,中航,航運業,無
2613,中櫃,航運業,無
2614,東森,其他業,無
2615,萬海,航運業,無
2616,山隆,油電燃氣業,無
2617,台航,航運業,無
2618,長榮航,航運業,無
2630,亞航,航運業,無
2633,台灣高鐵,航運業,無
2634,漢翔,航運業,國防產業
2636,台驊投控,航運業,無
2637,慧洋-KY,航運業,無
2642,宅配通,航運業,無
2645,長榮航太,航運業,國防產業
2701,萬企,觀光餐旅,無
2702,華園,觀光餐旅,無
2704,國賓,觀光餐旅,無
2705,六福,觀光餐旅,無
2706,第一店,觀光餐旅,無
2707,晶華,觀光餐旅,無
2712,遠雄來,觀光餐旅,無
2722,夏都,觀光餐旅,無
2723,美食-KY,觀光餐旅,無
2727,王品,觀光餐旅,無
2731,雄獅,觀光餐旅,無
2739,寒舍,觀光餐旅,無
2748,雲品,觀光餐旅,無
2753,八方雲集,觀光餐旅,無
2762,世界健身-KY,運動休閒,無
2801,彰銀,金融保險業,無
2809,京城銀,金融保險業,無
2812,台中銀,金融保險業,無
2816,旺旺保,金融保險業,無
2820,華票,金融保險業,無
2832,台產,金融保險業,無
